Year,Jurisdiction,All students,Average scale score
2009,South Carolina,All students,280
2009,South Dakota,All students,291
2009,Tennessee,All students,275
2009,Texas,All students,287
2009,Utah,All students,284
2009,Vermont,All students,293
2009,Virginia,All students,286
2009,Washington,All students,289
2009,West Virginia,All students,270
2009,Wisconsin,All students,288
2009,Wyoming,All students,286
2007,National,All students,281
2007,Alabama,All students,266
2007,Alaska,All students,283
2007,Arizona,All students,276
2007,Arkansas,All students,274
2007,California,All students,270
2007,Colorado,All students,286
2007,Connecticut,All students,282
2007,Delaware,All students,283
2007,District of Columbia,All students,248
2007,DoDEA,All students,285
2007,Florida,All students,277
2007,Georgia,All students,275
2007,Hawaii,All students,269
2007,Idaho,All students,284
2007,Illinois,All students,280
2007,Indiana,All students,285
2007,Iowa,All students,285
2007,Kansas,All students,290
2007,Kentucky,All students,279
2007,Louisiana,All students,272
2007,Maine,All students,286
2007,Maryland,All students,286
2007,Massachusetts,All students,298
2007,Michigan,All students,277
2007,Minnesota,All students,292
2007,Mississippi,All students,265
2007,Missouri,All students,281
2007,Montana,All students,287
2007,Nebraska,All students,284
2007,Nevada,All students,271
2007,New Hampshire,All students,288
2007,New Jersey,All students,289
2007,New Mexico,All students,268
2007,New York,All students,280
2007,North Carolina,All students,284
2007,North Dakota,All students,292
2007,Ohio,All students,285
2007,Oklahoma,All students,275
2007,Oregon,All students,284
2007,Pennsylvania,All students,286
2007,Rhode Island,All students,275
2007,South Carolina,All students,282
2007,South Dakota,All students,288
2007,Tennessee,All students,274
2007,Texas,All students,286
2007,Utah,All students,281
2007,Vermont,All students,291
2007,Virginia,All students,288
2007,Washington,All students,285
2007,West Virginia,All students,270
2007,Wisconsin,All students,286
2007,Wyoming,All students,287
2005,National,All students,279
2005,Alabama,All students,262
2005,Alaska,All students,279
2005,Arizona,All students,274
2005,Arkansas,All students,272
2005,California,All students,269
2005,Colorado,All students,281
2005,Connecticut,All students,281
2005,Delaware,All students,281
2005,District of Columbia,All students,245
2005,DoDEA,All students,284
2005,Florida,All students,274
2005,Georgia,All students,272
2005,Hawaii,All students,266
2005,Idaho,All students,281
2005,Illinois,All students,278
2005,Indiana,All students,282
2005,Iowa,All students,284
2005,Kansas,All students,284
2005,Kentucky,All students,274
2005,Louisiana,All students,268
2005,Maine,All students,281
2005,Maryland,All students,278
2005,Massachusetts,All students,292
2005,Michigan,All students,277
2005,Minnesota,All students,290
2005,Mississippi,All students,262
2005,Missouri,All students,276
2005,Montana,All students,286
2005,Nebraska,All students,284
2005,Nevada,All students,270
2005,New Hampshire,All students,285
2005,New Jersey,All students,284
2005,New Mexico,All students,263
2005,New York,All students,280
2005,North Carolina,All students,282
2005,North Dakota,All students,287
2005,Ohio,All students,283
2005,Oklahoma,All students,271
2005,Oregon,All students,282
2005,Pennsylvania,All students,281
2005,Rhode Island,All students,272
2005,South Carolina,All students,281
2005,South Dakota,All students,287
2005,Tennessee,All students,271
2005,Texas,All students,281
2005,Utah,All students,279
2005,Vermont,All students,287
2005,Virginia,All students,284
2005,Washington,All students,285
2005,West Virginia,All students,269
2005,Wisconsin,All students,285
2005,Wyoming,All students,282
2003,National,All students,278
2003,Alabama,All students,262
2003,Alaska,All students,279
2003,Arizona,All students,271
2003,Arkansas,All students,266
2003,California,All students,267
2003,Colorado,All students,283
2003,Connecticut,All students,284
2003,Delaware,All students,277
2003,District of Columbia,All students,243
2003,DoDEA,All students,285
2003,Florida,All students,271
2003,Georgia,All students,270
2003,Hawaii,All students,266
2003,Idaho,All students,280
2003,Illinois,All students,277
2003,Indiana,All students,281
2003,Iowa,All students,284
2003,Kansas,All students,284
2003,Kentucky,All students,274
2003,Louisiana,All students,266
2003,Maine,All students,282
2003,Maryland,All students,278
2003,Massachusetts,All students,287
2003,Michigan,All students,276
2003,Minnesota,All students,291
2003,Mississippi,All students,261
2003,Missouri,All students,279
2003,Montana,All students,286
2003,Nebraska,All students,282
2003,Nevada,All students,268
2003,New Hampshire,All students,286
2003,New Jersey,All students,281
2003,New Mexico,All students,263
2003,New York,All students,280
2003,North Carolina,All students,281
2003,North Dakota,All students,287
2003,Ohio,All students,282
2003,Oklahoma,All students,272
2003,Oregon,All students,281
2003,Pennsylvania,All students,279
2003,Rhode Island,All students,272
2003,South Carolina,All students,277
2003,South Dakota,All students,285
2003,Tennessee,All students,268
2003,Texas,All students,277
2003,Utah,All students,281
2003,Vermont,All students,286
2003,Virginia,All students,282
2003,Washington,All students,281
2003,West Virginia,All students,271
2003,Wisconsin,All students,284
2003,Wyoming,All students,284
2000,National,All students,273
2000,Alabama,All students,264
2000,Alaska,All students,—
2000,Arizona,All students,269
2000,Arkansas,All students,257
2000,California,All students,260
2000,Colorado,All students,—
2000,Connecticut,All students,281
2000,Delaware,All students,—
2000,District of Columbia,All students,235
2000,DoDEA,All students,277
2000,Florida,All students,—
2000,Georgia,All students,265
2000,Hawaii,All students,262
2000,Idaho,All students,277
2000,Illinois,All students,275
2000,Indiana,All students,281
2000,Iowa,All students,—
2000,Kansas,All students,283
2000,Kentucky,All students,270
2000,Louisiana,All students,259
2000,Maine,All students,281
2000,Maryland,All students,272
2000,Massachusetts,All students,279
2000,Michigan,All students,277
2000,Minnesota,All students,287
2000,Mississippi,All students,254
2000,Missouri,All students,271
2000,Montana,All students,285
2000,Nebraska,All students,280
2000,Nevada,All students,265
2000,New Hampshire,All students,—
2000,New Jersey,All students,—
2000,New Mexico,All students,259
2000,New York,All students,271
2000,North Carolina,All students,276
2000,North Dakota,All students,282
2000,Ohio,All students,281
2000,Oklahoma,All students,270
2000,Oregon,All students,280
2000,Pennsylvania,All students,—
2000,Rhode Island,All students,269
2000,South Carolina,All students,265
2000,South Dakota,All students,—
2000,Tennessee,All students,262
2000,Texas,All students,273
2000,Utah,All students,274
2000,Vermont,All students,281
2000,Virginia,All students,275
2000,Washington,All students,—
2000,West Virginia,All students,266
2000,Wisconsin,All students,‡
2000,Wyoming,All students,276
